GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
records-api,es.tfg.records,RecordsApiApplication,5,3,0,0,2,1,1,1,1,1
records-api,es.tfg.records.entrypoints.advice,GlobalExceptionHandler,0,159,0,0,0,35,0,11,0,11
records-api,es.tfg.records.infrastructure.persistence.mapper,DocumentEntityMapper,117,0,10,0,29,0,8,0,3,0
records-api,es.tfg.records.infrastructure.persistence.mapper,ProcedureEntityMapper,102,0,6,0,28,0,6,0,3,0
records-api,es.tfg.records.infrastructure.persistence.mapper,UserEntityMapper,88,0,4,0,23,0,4,0,2,0
records-api,es.tfg.records.infrastructure.persistence,AuditEntityListener,65,0,2,0,20,0,5,0,4,0
records-api,es.tfg.records.infrastructure.security,JwtTokenProvider,158,0,2,0,50,0,10,0,9,0
records-api,es.tfg.records.infrastructure.security,JwtAuthenticationFilter,71,0,8,0,20,0,7,0,3,0
records-api,es.tfg.records.infrastructure.storage,FileStorageService,250,4,16,0,62,1,17,1,9,1
records-api,es.tfg.records.application.mapper,UserMapper,0,20,0,2,0,4,0,2,0,1
records-api,es.tfg.records.application.mapper,DocumentMapper,0,43,0,0,0,19,0,2,0,2
records-api,es.tfg.records.application.mapper,ProcedureMapper,0,49,0,0,0,19,0,3,0,3
records-api,es.tfg.records.application.mapper,ProcedureTypeMapper,4,48,2,2,0,17,2,4,0,4
records-api,es.tfg.records.infrastructure.persistence.adapter,ProcedureTypeJpaAdapter,121,0,0,0,36,0,5,0,5,0
records-api,es.tfg.records.infrastructure.persistence.adapter,DocumentJpaAdapter,31,0,0,0,9,0,4,0,4,0
records-api,es.tfg.records.infrastructure.persistence.adapter,UserJpaAdapter,37,0,0,0,11,0,5,0,5,0
records-api,es.tfg.records.infrastructure.persistence.adapter,ProcedureJpaAdapter,49,0,0,0,13,0,6,0,6,0
records-api,es.tfg.records.infrastructure.persistence.entity,ProcedureTypeEntity,61,0,0,0,26,0,17,0,17,0
records-api,es.tfg.records.infrastructure.persistence.entity,ProcedureTaskEntity,65,0,0,0,28,0,19,0,19,0
records-api,es.tfg.records.infrastructure.persistence.entity,DocumentEntity,86,0,0,0,37,0,23,0,23,0
records-api,es.tfg.records.infrastructure.persistence.entity,CaseTimelineEventEntity,41,0,0,0,18,0,12,0,12,0
records-api,es.tfg.records.infrastructure.persistence.entity,UserEntity,61,0,0,0,26,0,17,0,17,0
